iso,country,GCAM_region_ID,region,1C,2C,3C,4C
mkd,"Macedonia, the former Yugoslav Republic of",15,Europe_Non_EU,-0.089,-0.15,-0.205,-0.318
mne,Montenegro,15,Europe_Non_EU,-0.089,-0.15,-0.205,-0.318
scg,Serbia and Montenegro,15,Europe_Non_EU,-0.089,-0.15,-0.205,-0.318
srb,Serbia,15,Europe_Non_EU,-0.089,-0.15,-0.205,-0.318
tur,Turkey,15,Europe_Non_EU,-0.342,-0.842,-1.54,-2.479
yug,"Yugoslavia, Federal Republic of",15,Europe_Non_EU,-0.089,-0.15,-0.205,-0.318
che,Switzerland,16,European Free Trade Association,-0.094,-0.214,-0.355,-0.522
isl,Iceland,16,European Free Trade Association,-0.097,-0.242,-0.421,-0.634
lie,Liechtenstein,16,European Free Trade Association,-0.097,-0.242,-0.421,-0.634
nor,Norway,16,European Free Trade Association,-0.16,-0.377,-0.646,-0.967
sjm,Svalbard and Jan Mayen Islands,16,European Free Trade Association,-0.097,-0.242,-0.421,-0.634
ind,India,17,India,-2.922,-6.434,-10.351,-14.622
idn,Indonesia,18,Indonesia,-3.347,-7.98,-13.267,-19.04
jpn,Japan,19,Japan,-0.182,-0.595,-1.335,-2.412
mex,Mexico,20,Mexico,-0.506,-1.178,-2.277,-3.985
are,United Arab Emirates,21,Middle East,-2.207,-4.799,-7.684,-10.976
bhr,Bahrain,21,Middle East,-1.44,-3.192,-5.138,-7.303
irn,Iran,21,Middle East,-0.894,-2.044,-3.516,-5.365
irq,Iraq,21,Middle East,-0.829,-1.879,-3.306,-4.985
isr,Israel,21,Middle East,-0.743,-1.514,-2.317,-3.416
jor,Jordan,21,Middle East,-0.982,-1.998,-3.254,-4.835
kwt,Kuwait,21,Middle East,-1.315,-2.795,-4.488,-6.387
lbn,Lebanon,21,Middle East,-0.829,-1.879,-3.306,-4.985
omn,Oman,21,Middle East,-0.996,-2.248,-3.78,-5.482
pse,"Palestinian Territory, Occupied",21,Middle East,-0.829,-1.879,-3.306,-4.985
qat,Qatar,21,Middle East,-2.091,-4.618,-7.304,-10.358
sau,Saudi Arabia,21,Middle East,-1.65,-3.457,-5.449,-7.773
syr,Syrian Arab Republic,21,Middle East,-0.829,-1.879,-3.306,-4.985
yem,Yemen,21,Middle East,-0.829,-1.879,-3.306,-4.985
pak,Pakistan,22,Pakistan,-1.901,-3.994,-6.435,-9.338
rus,Russian Federation,23,Russia,-0.266,-0.568,-0.936,-1.405
zaf,South Africa,24,South Africa,-0.74,-1.57,-2.464,-3.433
guf,French Guiana,25,South America_Northern,-0.459,-0.937,-1.545,-2.446
guy,Guyana,25,South America_Northern,-0.459,-0.937,-1.545,-2.446
sur,Suriname,25,South America_Northern,-0.459,-0.937,-1.545,-2.446
ven,Venezuela,25,South America_Northern,-0.649,-1.794,-3.614,-6.339
bol,Bolivia,26,South America_Southern,-0.65,-1.442,-2.332,-3.356
chl,Chile,26,South America_Southern,-0.323,-0.709,-1.158,-1.674
ecu,Ecuador,26,South America_Southern,-0.741,-1.627,-2.599,-3.801
per,Peru,26,South America_Southern,-0.509,-1.169,-1.934,-2.768
pry,Paraguay,26,South America_Southern,-1.604,-3.873,-6.729,-10.142
