iso,GCAM_region_ID,year,scenario,temp_change,gdp
hun,12,2020,SSP1,4C,96638.46909
idn,18,2020,SSP1,1C,905056.5531
idn,18,2020,SSP1,2C,905056.5531
idn,18,2020,SSP1,3C,905056.5531
idn,18,2020,SSP1,4C,905056.5531
ind,17,2020,SSP1,1C,2098114.032
ind,17,2020,SSP1,2C,2093772.685
ind,17,2020,SSP1,3C,2088454.759
ind,17,2020,SSP1,4C,2082171.309
irl,13,2020,SSP1,1C,167868.4525
irl,13,2020,SSP1,2C,167868.4525
irl,13,2020,SSP1,3C,167868.4525
irl,13,2020,SSP1,4C,167868.4525
irn,21,2020,SSP1,1C,507577.5095
irn,21,2020,SSP1,2C,507577.5095
irn,21,2020,SSP1,3C,507577.5095
irn,21,2020,SSP1,4C,507577.5095
irq,21,2020,SSP1,1C,132346.0631
irq,21,2020,SSP1,2C,133724.2714
irq,21,2020,SSP1,3C,135597.3222
irq,21,2020,SSP1,4C,137801.1429
isl,16,2020,SSP1,1C,17483.85678
isl,16,2020,SSP1,2C,17483.85678
isl,16,2020,SSP1,3C,17483.85678
isl,16,2020,SSP1,4C,17483.85678
isr,21,2020,SSP1,1C,157563.8188
isr,21,2020,SSP1,2C,157563.8188
isr,21,2020,SSP1,3C,157563.8188
isr,21,2020,SSP1,4C,157563.8188
ita,13,2020,SSP1,1C,1495382.813
ita,13,2020,SSP1,2C,1495382.813
ita,13,2020,SSP1,3C,1495382.813
ita,13,2020,SSP1,4C,1495382.813
jam,9,2020,SSP1,1C,10197.61516
jam,9,2020,SSP1,2C,10197.61516
jam,9,2020,SSP1,3C,10197.61516
jam,9,2020,SSP1,4C,10197.61516
jor,21,2020,SSP1,1C,26657.09454
jor,21,2020,SSP1,2C,26657.09454
jor,21,2020,SSP1,3C,26657.09454
jor,21,2020,SSP1,4C,26657.09454
jpn,19,2020,SSP1,1C,4163712.558
jpn,19,2020,SSP1,2C,4158965.673
jpn,19,2020,SSP1,3C,4153150.984
jpn,19,2020,SSP1,4C,4146280.578
kaz,10,2020,SSP1,1C,139362.2746
kaz,10,2020,SSP1,2C,139362.2746
kaz,10,2020,SSP1,3C,139362.2746
kaz,10,2020,SSP1,4C,139362.2746
ken,2,2020,SSP1,1C,39680.62221
ken,2,2020,SSP1,2C,40601.5697
ken,2,2020,SSP1,3C,41583.39666
ken,2,2020,SSP1,4C,42850.62041
kgz,10,2020,SSP1,1C,7795.759584
kgz,10,2020,SSP1,2C,7795.759584
kgz,10,2020,SSP1,3C,7795.759584
kgz,10,2020,SSP1,4C,7795.759584
khm,29,2020,SSP1,1C,23234.18878
khm,29,2020,SSP1,2C,23234.18878
khm,29,2020,SSP1,3C,23234.18878
khm,29,2020,SSP1,4C,23234.18878
kor,28,2020,SSP1,1C,1012189.463
kor,28,2020,SSP1,2C,1012189.463
kor,28,2020,SSP1,3C,1012189.463
kor,28,2020,SSP1,4C,1012189.463
