scenario,region,sector,year,value,value_ref,prices_bysector_change
3CgSSP2,Africa_Western,Wheat,2100,0.0695047,0.069281,0.32288794907695795
3CgSSP2,Africa_Western,elec_Gen_II_LWR,2100,1.44782,1.44303,0.3319404308988775
3CgSSP2,Africa_Western,elec_Gen_III,2100,1.44782,1.44303,0.3319404308988775
3CgSSP2,Africa_Western,regional fruits,2100,0.143096,0.142615,0.33727167548996195
3CgSSP2,Africa_Western,Fruits,2100,0.142024,0.14154,0.34195280486082535
3CgSSP2,Africa_Western,water_td_irr_LChad_W,2100,1.5068e-4,1.50159e-4,0.34696554985048544
3CgSSP2,Africa_Western,chemical energy use,2100,8.00495,7.9770200000000004,0.35013075058102744
3CgSSP2,Africa_Western,trn_pass_road_LDV_4W,2100,0.118047,0.117624,0.35962048561517446
3CgSSP2,Africa_Western,FoodDemand_Staples,2100,0.0590099,0.0587843,0.3837759401745014
3CgSSP2,Africa_Western,H2 central production,2100,6.05029,6.02632,0.3977551806077385
3CgSSP2,Africa_Western,water_td_irr_AfrIntN_W,2100,0.00342783,0.00341412,0.4015676074654702
3CgSSP2,Africa_Western,regional sheepgoat,2100,2.4053,2.39544,0.4116154025982785
3CgSSP2,Africa_Western,municipal water,2100,0.305511,0.304232,0.42040285045622244
3CgSSP2,Africa_Western,OilPalm,2100,0.0375091,0.0373477,0.4321551260184672
3CgSSP2,Africa_Western,regional oil,2100,4.75808,4.73652,0.4551865082381163
3CgSSP2,Africa_Western,delivered gas,2100,4.47597,4.45438,0.48469147221388087
3CgSSP2,Africa_Western,NonFoodDemand_Crops,2100,0.113342,0.112766,0.5107922600783864
3CgSSP2,Africa_Western,SheepGoat,2100,2.51438,2.5016,0.5108730412536071
3CgSSP2,Africa_Western,chemical feedstocks,2100,4.20697,4.18427,0.5425080121502768
3CgSSP2,Africa_Western,Rice,2100,0.150721,0.149907,0.5430033287304671
3CgSSP2,Africa_Western,backup_electricity,2100,9.22731,9.17686,0.549752311792919
3CgSSP2,Africa_Western,regional oilcrop,2100,0.238134,0.236784,0.5701398743158397
3CgSSP2,Africa_Western,elec_CSP_storage,2100,0.116533,0.11582,0.6156104299775439
3CgSSP2,Africa_Western,regional natural gas,2100,2.89293,2.87437,0.6457067113837088
3CgSSP2,Africa_Western,SugarCrop,2100,0.0254462,0.0252826,0.6470853472348567
3CgSSP2,Africa_Western,Scavenging_Other,2100,0.00699919,0.00695303,0.6638832278876972
3CgSSP2,Africa_Western,resid others,2100,11.648,11.5708,0.6671967366128486
3CgSSP2,Africa_Western,gas pipeline,2100,3.22597,3.20438,0.6737652837678357
3CgSSP2,Africa_Western,gas processing,2100,3.22597,3.20438,0.6737652837678357
